text,emotion
I am happy,happy
I feel happy,happy
I am very happy,happy
Today is special,happy
Today is amazing,happy
I feel great,happy
I feel awesome,happy
I am excited,happy
I am joyful,happy
I am smiling,happy
I got good news,happy
I passed exam,happy
I won today,happy
I achieved my goal,happy
I feel blessed,happy
Life is beautiful,happy
I am proud,happy
I love this day,happy
I feel energetic,happy
I am in good mood,happy
This is the best day,happy
I feel fantastic,happy
I am cheerful,happy
I feel positive,happy
I am celebrating,happy
Today is very special,happy
I am enjoying today,happy
I feel like dancing,happy
Everything is perfect,happy
I am in love with life,happy

I am sad,sad
I feel sad,sad
I am very sad,sad
I feel bad,sad
I am crying,sad
I feel depressed,sad
I am upset,sad
I feel hurt,sad
I feel lonely,sad
I am broken,sad
I feel empty,sad
Nobody understands me,sad
I miss someone,sad
I feel hopeless,sad
I am tired of life,sad
I feel low,sad
I feel weak,sad
I am unhappy,sad
I feel pain,sad
I am heartbroken,sad
I feel down,sad
I feel rejected,sad
I feel emotional,sad
I am not okay,sad
I feel lost,sad

I am angry,angry
I feel angry,angry
I am very angry,angry
I am frustrated,angry
I am irritated,angry
I hate this,angry
I am mad,angry
I feel rage,angry
This is annoying,angry
I am furious,angry
I am shouting,angry
I can't tolerate this,angry
This is nonsense,angry
I am losing patience,angry
I feel aggressive,angry
I am annoyed,angry
I feel hatred,angry
I am boiling inside,angry
I am extremely angry,angry
This makes me mad,angry
I am feeling irritated today,angry
I am full of anger,angry
I hate everything today,angry
I am yelling loudly,angry
I feel so frustrated,angry
This is making me angry,angry
I am annoyed right now,angry
I am upset and angry,angry
Why is this happening,angry
I lost my patience,angry
I am in bad mood,angry
This situation is terrible,angry
I am feeling aggressive today,angry

I am scared,fear
I feel scared,fear
I am afraid,fear
I feel nervous,fear
I am worried,fear
I feel unsafe,fear
I am panicking,fear
I feel anxiety,fear
I fear failure,fear
I feel danger,fear
I feel insecure,fear
I am stressed,fear
I feel pressure,fear
I am frightened,fear
I feel fear,fear
I am under pressure,fear
I feel stressed,fear
I am scared today,fear
I feel panic,fear
I feel anxious,fear
I am overthinking,fear
I am mentally stressed,fear
I am worried about future,fear
I feel tension,fear
I feel uncomfortable,fear
I am afraid of failure,fear
I am scared of result,fear
I feel anxiety today,fear
I am frightened,fear

I am surprised,surprise
What a surprise,surprise
I am shocked,surprise
This is unexpected,surprise
I can't believe it,surprise
Amazing surprise,surprise
Wow I didn't expect this,surprise
This shocked me,surprise
Sudden surprise,surprise
Unbelievable,surprise
I am totally surprised,surprise
This is shocking,surprise
Oh my god,surprise
I never expected this,surprise
This is unbelievable,surprise
Wow this is amazing,surprise
I got unexpected news,surprise
This surprised me a lot,surprise
I am amazed,surprise
What just happened,surprise
This is sudden,surprise
I am stunned,surprise
I did not see this coming,surprise
This is incredible,surprise
I am speechless,surprise

I am okay today,neutral
Nothing much today,neutral
Just chilling,neutral
Regular day,neutral
Normal mood,neutral
I feel balanced,neutral
I am relaxed,neutral
Everything is fine,neutral
Simple day today,neutral
No emotions today,neutral
I feel average,neutral
I am stable today,neutral
I am going to office today",neutral
I will complete my assignment",neutral
The meeting is scheduled at 10 AM",neutral
He is reading a book",neutral
She is cooking food",neutral
I am sitting at home",neutral
The weather is normal today",neutral
They are watching TV",neutral
I have class tomorrow",neutral
We are going to market",neutral
The train arrives at 5 PM",neutral
He is working on laptop",neutral
I will call you later",neutral
The exam is on Monday",neutral
She is cleaning the room",neutral
I am drinking water",neutral
The phone is on table",neutral
They are playing cricket",neutral
I am going to sleep now",neutral
The shop opens at 9 AM",neutral
